account_id,segment,term_months,renewal_date,notes
ACCT-1001,Mid-Market,12,2026-01-04,Renewal discount 5 percent
ACCT-1002,SMB,18,2026-01-07,Custom data retention
ACCT-1003,Enterprise,24,2026-01-10,Standard support tier
ACCT-1004,Mid-Market,36,2026-01-13,Includes dedicated TAM
ACCT-1005,SMB,6,2026-01-16,Annual prepay
ACCT-1006,Enterprise,12,2026-01-19,Security review completed
ACCT-1007,Mid-Market,18,2026-01-22,Monthly billing
ACCT-1008,SMB,24,2026-01-25,Custom SLA 99.95
ACCT-1009,Enterprise,36,2026-01-28,Onboarding in progress
ACCT-1010,Mid-Market,6,2026-01-31,Data residency EU
ACCT-1011,SMB,12,2026-02-03,Includes premium support
ACCT-1012,Enterprise,18,2026-02-06,Renewal discount 5 percent
ACCT-1013,Mid-Market,24,2026-02-09,Custom data retention
ACCT-1014,SMB,36,2026-02-12,Standard support tier
ACCT-1015,Enterprise,6,2026-02-15,Includes dedicated TAM
ACCT-1016,Mid-Market,12,2026-02-18,Annual prepay
ACCT-1017,SMB,18,2026-02-21,Security review completed
ACCT-1018,Enterprise,24,2026-02-24,Monthly billing
ACCT-1019,Mid-Market,36,2026-02-27,Custom SLA 99.95
ACCT-1020,SMB,6,2026-03-02,Onboarding in progress
ACCT-1021,Enterprise,12,2026-03-05,Data residency EU
ACCT-1022,Mid-Market,18,2026-03-08,Includes premium support
ACCT-1023,SMB,24,2026-03-11,Renewal discount 5 percent
ACCT-1024,Enterprise,36,2026-03-14,Custom data retention
ACCT-1025,Mid-Market,6,2026-03-17,Standard support tier
ACCT-1026,SMB,12,2026-03-20,Includes dedicated TAM
ACCT-1027,Enterprise,18,2026-03-23,Annual prepay
ACCT-1028,Mid-Market,24,2026-03-26,Security review completed
ACCT-1029,SMB,36,2026-03-29,Monthly billing
ACCT-1030,Enterprise,6,2026-04-01,Custom SLA 99.95
ACCT-1031,Mid-Market,12,2026-04-04,Onboarding in progress
ACCT-1032,SMB,18,2026-04-07,Data residency EU
ACCT-1033,Enterprise,24,2026-04-10,Includes premium support
ACCT-1034,Mid-Market,36,2026-04-13,Renewal discount 5 percent
ACCT-1035,SMB,6,2026-04-16,Custom data retention
ACCT-1036,Enterprise,12,2026-04-19,Standard support tier
ACCT-1037,Mid-Market,18,2026-04-22,Includes dedicated TAM
ACCT-1038,SMB,24,2026-04-25,Annual prepay
ACCT-1039,Enterprise,36,2026-04-28,Security review completed
ACCT-1040,Mid-Market,6,2026-05-01,Monthly billing
ACCT-1041,SMB,12,2026-05-04,Custom SLA 99.95
ACCT-1042,Enterprise,18,2026-05-07,Onboarding in progress
ACCT-1043,Mid-Market,24,2026-05-10,Data residency EU
ACCT-1044,SMB,36,2026-05-13,Includes premium support
ACCT-1045,Enterprise,6,2026-05-16,Renewal discount 5 percent
ACCT-1046,Mid-Market,12,2026-05-19,Custom data retention
ACCT-1047,SMB,18,2026-05-22,Standard support tier
ACCT-1048,Enterprise,24,2026-05-25,Includes dedicated TAM
ACCT-1049,Mid-Market,36,2026-05-28,Annual prepay
ACCT-1050,SMB,6,2026-05-31,Security review completed
ACCT-1051,Enterprise,12,2026-06-03,Monthly billing
ACCT-1052,Mid-Market,18,2026-06-06,Custom SLA 99.95
ACCT-1053,SMB,24,2026-06-09,Onboarding in progress
ACCT-1054,Enterprise,36,2026-06-12,Data residency EU
ACCT-1055,Mid-Market,6,2026-06-15,Includes premium support
ACCT-1056,SMB,12,2026-06-18,Renewal discount 5 percent
ACCT-1057,Enterprise,18,2026-06-21,Custom data retention
ACCT-1058,Mid-Market,24,2026-06-24,Standard support tier
ACCT-1059,SMB,36,2026-06-27,Includes dedicated TAM
ACCT-1060,Enterprise,6,2026-06-30,Annual prepay
ACCT-1061,Mid-Market,12,2026-07-03,Security review completed
ACCT-1062,SMB,18,2026-07-06,Monthly billing
ACCT-1063,Enterprise,24,2026-07-09,Custom SLA 99.95
ACCT-1064,Mid-Market,36,2026-07-12,Onboarding in progress
ACCT-1065,SMB,6,2026-07-15,Data residency EU
ACCT-1066,Enterprise,12,2026-07-18,Includes premium support
ACCT-1067,Mid-Market,18,2026-07-21,Renewal discount 5 percent
ACCT-1068,SMB,24,2026-07-24,Custom data retention
ACCT-1069,Enterprise,36,2026-07-27,Standard support tier
ACCT-1070,Mid-Market,6,2026-07-30,Includes dedicated TAM
ACCT-1071,SMB,12,2026-08-02,Annual prepay
ACCT-1072,Enterprise,18,2026-08-05,Security review completed
ACCT-1073,Mid-Market,24,2026-08-08,Monthly billing
ACCT-1074,SMB,36,2026-08-11,Custom SLA 99.95
ACCT-1075,Enterprise,6,2026-08-14,Onboarding in progress
ACCT-1076,Mid-Market,12,2026-08-17,Data residency EU
ACCT-1077,SMB,18,2026-08-20,Includes premium support
ACCT-1078,Enterprise,24,2026-08-23,Renewal discount 5 percent
ACCT-1079,Mid-Market,36,2026-08-26,Custom data retention
ACCT-1080,SMB,6,2026-08-29,Standard support tier
ACCT-1081,Enterprise,12,2026-09-01,Includes dedicated TAM
ACCT-1082,Mid-Market,18,2026-09-04,Annual prepay
ACCT-1083,SMB,24,2026-09-07,Security review completed
ACCT-1084,Enterprise,36,2026-09-10,Monthly billing
ACCT-1085,Mid-Market,6,2026-09-13,Custom SLA 99.95
ACCT-1086,SMB,12,2026-09-16,Onboarding in progress
ACCT-1087,Enterprise,18,2026-09-19,Data residency EU
ACCT-1088,Mid-Market,24,2026-09-22,Includes premium support
ACCT-1089,SMB,36,2026-09-25,Renewal discount 5 percent
ACCT-1090,Enterprise,6,2026-09-28,Custom data retention
ACCT-1091,Mid-Market,12,2026-10-01,Standard support tier
ACCT-1092,SMB,18,2026-10-04,Includes dedicated TAM
ACCT-1093,Enterprise,24,2026-10-07,Annual prepay
ACCT-1094,Mid-Market,36,2026-10-10,Security review completed
ACCT-1095,SMB,6,2026-10-13,Monthly billing
ACCT-1096,Enterprise,12,2026-10-16,Custom SLA 99.95
ACCT-1097,Mid-Market,18,2026-10-19,Onboarding in progress
ACCT-1098,SMB,24,2026-10-22,Data residency EU
ACCT-1099,Enterprise,36,2026-10-25,Includes premium support
ACCT-1100,Mid-Market,6,2026-10-28,Renewal discount 5 percent
ACCT-1101,SMB,12,2026-10-31,Custom data retention
ACCT-1102,Enterprise,18,2026-11-03,Standard support tier
ACCT-1103,Mid-Market,24,2026-11-06,Includes dedicated TAM
ACCT-1104,SMB,36,2026-11-09,Annual prepay
ACCT-1105,Enterprise,6,2026-11-12,Security review completed
