ticket_id,category,summary,owner,status
INC-2041,Auth,Auth issue #1 impacting region 2,it,investigating
INC-2042,HR,HR issue #2 impacting region 3,hr,mitigated
REQ-2043,Infra,Infra issue #3 impacting region 4,platform,closed
INC-2044,Security,Security issue #4 impacting region 5,security,approved
INC-2045,Data,Data issue #5 impacting region 1,data,triaged
REQ-2046,Support,Support issue #6 impacting region 2,support,open
INC-2047,App,App issue #7 impacting region 3,engineering,investigating
INC-2048,Product,Product issue #8 impacting region 4,product,mitigated
REQ-2049,Sales,Sales issue #9 impacting region 5,sales,closed
INC-2050,Payments,Payments issue #10 impacting region 1,finance,approved
INC-2051,Auth,Auth issue #11 impacting region 2,it,triaged
REQ-2052,HR,HR issue #12 impacting region 3,hr,open
INC-2053,Infra,Infra issue #13 impacting region 4,platform,investigating
INC-2054,Security,Security issue #14 impacting region 5,security,mitigated
REQ-2055,Data,Data issue #15 impacting region 1,data,closed
INC-2056,Support,Support issue #16 impacting region 2,support,approved
INC-2057,App,App issue #17 impacting region 3,engineering,triaged
REQ-2058,Product,Product issue #18 impacting region 4,product,open
INC-2059,Sales,Sales issue #19 impacting region 5,sales,investigating
INC-2060,Payments,Payments issue #20 impacting region 1,finance,mitigated
REQ-2061,Auth,Auth issue #21 impacting region 2,it,closed
INC-2062,HR,HR issue #22 impacting region 3,hr,approved
INC-2063,Infra,Infra issue #23 impacting region 4,platform,triaged
REQ-2064,Security,Security issue #24 impacting region 5,security,open
INC-2065,Data,Data issue #25 impacting region 1,data,investigating
INC-2066,Support,Support issue #26 impacting region 2,support,mitigated
REQ-2067,App,App issue #27 impacting region 3,engineering,closed
INC-2068,Product,Product issue #28 impacting region 4,product,approved
INC-2069,Sales,Sales issue #29 impacting region 5,sales,triaged
REQ-2070,Payments,Payments issue #30 impacting region 1,finance,open
INC-2071,Auth,Auth issue #31 impacting region 2,it,investigating
INC-2072,HR,HR issue #32 impacting region 3,hr,mitigated
REQ-2073,Infra,Infra issue #33 impacting region 4,platform,closed
INC-2074,Security,Security issue #34 impacting region 5,security,approved
INC-2075,Data,Data issue #35 impacting region 1,data,triaged
REQ-2076,Support,Support issue #36 impacting region 2,support,open
INC-2077,App,App issue #37 impacting region 3,engineering,investigating
INC-2078,Product,Product issue #38 impacting region 4,product,mitigated
REQ-2079,Sales,Sales issue #39 impacting region 5,sales,closed
INC-2080,Payments,Payments issue #40 impacting region 1,finance,approved
INC-2081,Auth,Auth issue #41 impacting region 2,it,triaged
REQ-2082,HR,HR issue #42 impacting region 3,hr,open
INC-2083,Infra,Infra issue #43 impacting region 4,platform,investigating
INC-2084,Security,Security issue #44 impacting region 5,security,mitigated
REQ-2085,Data,Data issue #45 impacting region 1,data,closed
INC-2086,Support,Support issue #46 impacting region 2,support,approved
INC-2087,App,App issue #47 impacting region 3,engineering,triaged
REQ-2088,Product,Product issue #48 impacting region 4,product,open
INC-2089,Sales,Sales issue #49 impacting region 5,sales,investigating
INC-2090,Payments,Payments issue #50 impacting region 1,finance,mitigated
REQ-2091,Auth,Auth issue #51 impacting region 2,it,closed
INC-2092,HR,HR issue #52 impacting region 3,hr,approved
INC-2093,Infra,Infra issue #53 impacting region 4,platform,triaged
REQ-2094,Security,Security issue #54 impacting region 5,security,open
INC-2095,Data,Data issue #55 impacting region 1,data,investigating
INC-2096,Support,Support issue #56 impacting region 2,support,mitigated
REQ-2097,App,App issue #57 impacting region 3,engineering,closed
INC-2098,Product,Product issue #58 impacting region 4,product,approved
INC-2099,Sales,Sales issue #59 impacting region 5,sales,triaged
REQ-2100,Payments,Payments issue #60 impacting region 1,finance,open
INC-2101,Auth,Auth issue #61 impacting region 2,it,investigating
INC-2102,HR,HR issue #62 impacting region 3,hr,mitigated
REQ-2103,Infra,Infra issue #63 impacting region 4,platform,closed
INC-2104,Security,Security issue #64 impacting region 5,security,approved
INC-2105,Data,Data issue #65 impacting region 1,data,triaged
REQ-2106,Support,Support issue #66 impacting region 2,support,open
INC-2107,App,App issue #67 impacting region 3,engineering,investigating
INC-2108,Product,Product issue #68 impacting region 4,product,mitigated
REQ-2109,Sales,Sales issue #69 impacting region 5,sales,closed
INC-2110,Payments,Payments issue #70 impacting region 1,finance,approved
INC-2111,Auth,Auth issue #71 impacting region 2,it,triaged
REQ-2112,HR,HR issue #72 impacting region 3,hr,open
INC-2113,Infra,Infra issue #73 impacting region 4,platform,investigating
INC-2114,Security,Security issue #74 impacting region 5,security,mitigated
REQ-2115,Data,Data issue #75 impacting region 1,data,closed
INC-2116,Support,Support issue #76 impacting region 2,support,approved
INC-2117,App,App issue #77 impacting region 3,engineering,triaged
REQ-2118,Product,Product issue #78 impacting region 4,product,open
INC-2119,Sales,Sales issue #79 impacting region 5,sales,investigating
INC-2120,Payments,Payments issue #80 impacting region 1,finance,mitigated
REQ-2121,Auth,Auth issue #81 impacting region 2,it,closed
INC-2122,HR,HR issue #82 impacting region 3,hr,approved
INC-2123,Infra,Infra issue #83 impacting region 4,platform,triaged
REQ-2124,Security,Security issue #84 impacting region 5,security,open
INC-2125,Data,Data issue #85 impacting region 1,data,investigating
INC-2126,Support,Support issue #86 impacting region 2,support,mitigated
REQ-2127,App,App issue #87 impacting region 3,engineering,closed
INC-2128,Product,Product issue #88 impacting region 4,product,approved
INC-2129,Sales,Sales issue #89 impacting region 5,sales,triaged
REQ-2130,Payments,Payments issue #90 impacting region 1,finance,open
INC-2131,Auth,Auth issue #91 impacting region 2,it,investigating
INC-2132,HR,HR issue #92 impacting region 3,hr,mitigated
REQ-2133,Infra,Infra issue #93 impacting region 4,platform,closed
INC-2134,Security,Security issue #94 impacting region 5,security,approved
INC-2135,Data,Data issue #95 impacting region 1,data,triaged
REQ-2136,Support,Support issue #96 impacting region 2,support,open
INC-2137,App,App issue #97 impacting region 3,engineering,investigating
INC-2138,Product,Product issue #98 impacting region 4,product,mitigated
REQ-2139,Sales,Sales issue #99 impacting region 5,sales,closed
INC-2140,Payments,Payments issue #100 impacting region 1,finance,approved
INC-2141,Auth,Auth issue #101 impacting region 2,it,triaged
REQ-2142,HR,HR issue #102 impacting region 3,hr,open
INC-2143,Infra,Infra issue #103 impacting region 4,platform,investigating
INC-2144,Security,Security issue #104 impacting region 5,security,mitigated
REQ-2145,Data,Data issue #105 impacting region 1,data,closed
INC-2146,Support,Support issue #106 impacting region 2,support,approved
INC-2147,App,App issue #107 impacting region 3,engineering,triaged
REQ-2148,Product,Product issue #108 impacting region 4,product,open
INC-2149,Sales,Sales issue #109 impacting region 5,sales,investigating
INC-2150,Payments,Payments issue #110 impacting region 1,finance,mitigated
REQ-2151,Auth,Auth issue #111 impacting region 2,it,closed
INC-2152,HR,HR issue #112 impacting region 3,hr,approved
INC-2153,Infra,Infra issue #113 impacting region 4,platform,triaged
REQ-2154,Security,Security issue #114 impacting region 5,security,open
INC-2155,Data,Data issue #115 impacting region 1,data,investigating
INC-2156,Support,Support issue #116 impacting region 2,support,mitigated
REQ-2157,App,App issue #117 impacting region 3,engineering,closed
INC-2158,Product,Product issue #118 impacting region 4,product,approved
INC-2159,Sales,Sales issue #119 impacting region 5,sales,triaged
REQ-2160,Payments,Payments issue #120 impacting region 1,finance,open
INC-2161,Auth,Auth issue #121 impacting region 2,it,investigating
INC-2162,HR,HR issue #122 impacting region 3,hr,mitigated
REQ-2163,Infra,Infra issue #123 impacting region 4,platform,closed
INC-2164,Security,Security issue #124 impacting region 5,security,approved
INC-2165,Data,Data issue #125 impacting region 1,data,triaged
REQ-2166,Support,Support issue #126 impacting region 2,support,open
INC-2167,App,App issue #127 impacting region 3,engineering,investigating
INC-2168,Product,Product issue #128 impacting region 4,product,mitigated
REQ-2169,Sales,Sales issue #129 impacting region 5,sales,closed
INC-2170,Payments,Payments issue #130 impacting region 1,finance,approved
INC-2171,Auth,Auth issue #131 impacting region 2,it,triaged
REQ-2172,HR,HR issue #132 impacting region 3,hr,open
INC-2173,Infra,Infra issue #133 impacting region 4,platform,investigating
INC-2174,Security,Security issue #134 impacting region 5,security,mitigated
REQ-2175,Data,Data issue #135 impacting region 1,data,closed
INC-2176,Support,Support issue #136 impacting region 2,support,approved
INC-2177,App,App issue #137 impacting region 3,engineering,triaged
REQ-2178,Product,Product issue #138 impacting region 4,product,open
INC-2179,Sales,Sales issue #139 impacting region 5,sales,investigating
INC-2180,Payments,Payments issue #140 impacting region 1,finance,mitigated
REQ-2181,Auth,Auth issue #141 impacting region 2,it,closed
INC-2182,HR,HR issue #142 impacting region 3,hr,approved
INC-2183,Infra,Infra issue #143 impacting region 4,platform,triaged
REQ-2184,Security,Security issue #144 impacting region 5,security,open
INC-2185,Data,Data issue #145 impacting region 1,data,investigating
INC-2186,Support,Support issue #146 impacting region 2,support,mitigated
REQ-2187,App,App issue #147 impacting region 3,engineering,closed
INC-2188,Product,Product issue #148 impacting region 4,product,approved
INC-2189,Sales,Sales issue #149 impacting region 5,sales,triaged
REQ-2190,Payments,Payments issue #150 impacting region 1,finance,open
INC-2191,Auth,Auth issue #151 impacting region 2,it,investigating
INC-2192,HR,HR issue #152 impacting region 3,hr,mitigated
REQ-2193,Infra,Infra issue #153 impacting region 4,platform,closed
INC-2194,Security,Security issue #154 impacting region 5,security,approved
INC-2195,Data,Data issue #155 impacting region 1,data,triaged
REQ-2196,Support,Support issue #156 impacting region 2,support,open
INC-2197,App,App issue #157 impacting region 3,engineering,investigating
INC-2198,Product,Product issue #158 impacting region 4,product,mitigated
REQ-2199,Sales,Sales issue #159 impacting region 5,sales,closed
INC-2200,Payments,Payments issue #160 impacting region 1,finance,approved
INC-2201,Auth,Auth issue #161 impacting region 2,it,triaged
REQ-2202,HR,HR issue #162 impacting region 3,hr,open
INC-2203,Infra,Infra issue #163 impacting region 4,platform,investigating
INC-2204,Security,Security issue #164 impacting region 5,security,mitigated
REQ-2205,Data,Data issue #165 impacting region 1,data,closed
INC-2206,Support,Support issue #166 impacting region 2,support,approved
INC-2207,App,App issue #167 impacting region 3,engineering,triaged
REQ-2208,Product,Product issue #168 impacting region 4,product,open
INC-2209,Sales,Sales issue #169 impacting region 5,sales,investigating
INC-2210,Payments,Payments issue #170 impacting region 1,finance,mitigated
REQ-2211,Auth,Auth issue #171 impacting region 2,it,closed
INC-2212,HR,HR issue #172 impacting region 3,hr,approved
INC-2213,Infra,Infra issue #173 impacting region 4,platform,triaged
REQ-2214,Security,Security issue #174 impacting region 5,security,open
INC-2215,Data,Data issue #175 impacting region 1,data,investigating
INC-2216,Support,Support issue #176 impacting region 2,support,mitigated
REQ-2217,App,App issue #177 impacting region 3,engineering,closed
INC-2218,Product,Product issue #178 impacting region 4,product,approved
INC-2219,Sales,Sales issue #179 impacting region 5,sales,triaged
REQ-2220,Payments,Payments issue #180 impacting region 1,finance,open
INC-2221,Auth,Auth issue #181 impacting region 2,it,investigating
INC-2222,HR,HR issue #182 impacting region 3,hr,mitigated
REQ-2223,Infra,Infra issue #183 impacting region 4,platform,closed
INC-2224,Security,Security issue #184 impacting region 5,security,approved
INC-2225,Data,Data issue #185 impacting region 1,data,triaged
REQ-2226,Support,Support issue #186 impacting region 2,support,open
INC-2227,App,App issue #187 impacting region 3,engineering,investigating
INC-2228,Product,Product issue #188 impacting region 4,product,mitigated
REQ-2229,Sales,Sales issue #189 impacting region 5,sales,closed
INC-2230,Payments,Payments issue #190 impacting region 1,finance,approved
INC-2231,Auth,Auth issue #191 impacting region 2,it,triaged
REQ-2232,HR,HR issue #192 impacting region 3,hr,open
INC-2233,Infra,Infra issue #193 impacting region 4,platform,investigating
INC-2234,Security,Security issue #194 impacting region 5,security,mitigated
REQ-2235,Data,Data issue #195 impacting region 1,data,closed
INC-2236,Support,Support issue #196 impacting region 2,support,approved
INC-2237,App,App issue #197 impacting region 3,engineering,triaged
REQ-2238,Product,Product issue #198 impacting region 4,product,open
INC-2239,Sales,Sales issue #199 impacting region 5,sales,investigating
INC-2240,Payments,Payments issue #200 impacting region 1,finance,mitigated
REQ-2241,Auth,Auth issue #201 impacting region 2,it,closed
INC-2242,HR,HR issue #202 impacting region 3,hr,approved
INC-2243,Infra,Infra issue #203 impacting region 4,platform,triaged
REQ-2244,Security,Security issue #204 impacting region 5,security,open
INC-2245,Data,Data issue #205 impacting region 1,data,investigating
INC-2246,Support,Support issue #206 impacting region 2,support,mitigated
REQ-2247,App,App issue #207 impacting region 3,engineering,closed
INC-2248,Product,Product issue #208 impacting region 4,product,approved
INC-2249,Sales,Sales issue #209 impacting region 5,sales,triaged
REQ-2250,Payments,Payments issue #210 impacting region 1,finance,open
INC-2251,Auth,Auth issue #211 impacting region 2,it,investigating
INC-2252,HR,HR issue #212 impacting region 3,hr,mitigated
REQ-2253,Infra,Infra issue #213 impacting region 4,platform,closed
INC-2254,Security,Security issue #214 impacting region 5,security,approved
INC-2255,Data,Data issue #215 impacting region 1,data,triaged
REQ-2256,Support,Support issue #216 impacting region 2,support,open
INC-2257,App,App issue #217 impacting region 3,engineering,investigating
INC-2258,Product,Product issue #218 impacting region 4,product,mitigated
REQ-2259,Sales,Sales issue #219 impacting region 5,sales,closed
INC-2260,Payments,Payments issue #220 impacting region 1,finance,approved
INC-2261,Auth,Auth issue #221 impacting region 2,it,triaged
REQ-2262,HR,HR issue #222 impacting region 3,hr,open
INC-2263,Infra,Infra issue #223 impacting region 4,platform,investigating
INC-2264,Security,Security issue #224 impacting region 5,security,mitigated
REQ-2265,Data,Data issue #225 impacting region 1,data,closed
INC-2266,Support,Support issue #226 impacting region 2,support,approved
INC-2267,App,App issue #227 impacting region 3,engineering,triaged
REQ-2268,Product,Product issue #228 impacting region 4,product,open
INC-2269,Sales,Sales issue #229 impacting region 5,sales,investigating
INC-2270,Payments,Payments issue #230 impacting region 1,finance,mitigated
REQ-2271,Auth,Auth issue #231 impacting region 2,it,closed
INC-2272,HR,HR issue #232 impacting region 3,hr,approved
INC-2273,Infra,Infra issue #233 impacting region 4,platform,triaged
REQ-2274,Security,Security issue #234 impacting region 5,security,open
INC-2275,Data,Data issue #235 impacting region 1,data,investigating
INC-2276,Support,Support issue #236 impacting region 2,support,mitigated
REQ-2277,App,App issue #237 impacting region 3,engineering,closed
INC-2278,Product,Product issue #238 impacting region 4,product,approved
INC-2279,Sales,Sales issue #239 impacting region 5,sales,triaged
REQ-2280,Payments,Payments issue #240 impacting region 1,finance,open
INC-2281,Auth,Auth issue #241 impacting region 2,it,investigating
INC-2282,HR,HR issue #242 impacting region 3,hr,mitigated
REQ-2283,Infra,Infra issue #243 impacting region 4,platform,closed
INC-2284,Security,Security issue #244 impacting region 5,security,approved
INC-2285,Data,Data issue #245 impacting region 1,data,triaged
REQ-2286,Support,Support issue #246 impacting region 2,support,open
INC-2287,App,App issue #247 impacting region 3,engineering,investigating
INC-2288,Product,Product issue #248 impacting region 4,product,mitigated
REQ-2289,Sales,Sales issue #249 impacting region 5,sales,closed
INC-2290,Payments,Payments issue #250 impacting region 1,finance,approved
INC-2291,Auth,Auth issue #251 impacting region 2,it,triaged
REQ-2292,HR,HR issue #252 impacting region 3,hr,open
INC-2293,Infra,Infra issue #253 impacting region 4,platform,investigating
INC-2294,Security,Security issue #254 impacting region 5,security,mitigated
REQ-2295,Data,Data issue #255 impacting region 1,data,closed
INC-2296,Support,Support issue #256 impacting region 2,support,approved
INC-2297,App,App issue #257 impacting region 3,engineering,triaged
REQ-2298,Product,Product issue #258 impacting region 4,product,open
INC-2299,Sales,Sales issue #259 impacting region 5,sales,investigating
INC-2300,Payments,Payments issue #260 impacting region 1,finance,mitigated
REQ-2301,Auth,Auth issue #261 impacting region 2,it,closed
INC-2302,HR,HR issue #262 impacting region 3,hr,approved
INC-2303,Infra,Infra issue #263 impacting region 4,platform,triaged
REQ-2304,Security,Security issue #264 impacting region 5,security,open
INC-2305,Data,Data issue #265 impacting region 1,data,investigating
INC-2306,Support,Support issue #266 impacting region 2,support,mitigated
REQ-2307,App,App issue #267 impacting region 3,engineering,closed
INC-2308,Product,Product issue #268 impacting region 4,product,approved
INC-2309,Sales,Sales issue #269 impacting region 5,sales,triaged
REQ-2310,Payments,Payments issue #270 impacting region 1,finance,open
INC-2311,Auth,Auth issue #271 impacting region 2,it,investigating
INC-2312,HR,HR issue #272 impacting region 3,hr,mitigated
REQ-2313,Infra,Infra issue #273 impacting region 4,platform,closed
INC-2314,Security,Security issue #274 impacting region 5,security,approved
INC-2315,Data,Data issue #275 impacting region 1,data,triaged
REQ-2316,Support,Support issue #276 impacting region 2,support,open
INC-2317,App,App issue #277 impacting region 3,engineering,investigating
INC-2318,Product,Product issue #278 impacting region 4,product,mitigated
REQ-2319,Sales,Sales issue #279 impacting region 5,sales,closed
INC-2320,Payments,Payments issue #280 impacting region 1,finance,approved
INC-2321,Auth,Auth issue #281 impacting region 2,it,triaged
REQ-2322,HR,HR issue #282 impacting region 3,hr,open
INC-2323,Infra,Infra issue #283 impacting region 4,platform,investigating
INC-2324,Security,Security issue #284 impacting region 5,security,mitigated
REQ-2325,Data,Data issue #285 impacting region 1,data,closed
INC-2326,Support,Support issue #286 impacting region 2,support,approved
INC-2327,App,App issue #287 impacting region 3,engineering,triaged
REQ-2328,Product,Product issue #288 impacting region 4,product,open
INC-2329,Sales,Sales issue #289 impacting region 5,sales,investigating
INC-2330,Payments,Payments issue #290 impacting region 1,finance,mitigated
REQ-2331,Auth,Auth issue #291 impacting region 2,it,closed
INC-2332,HR,HR issue #292 impacting region 3,hr,approved
INC-2333,Infra,Infra issue #293 impacting region 4,platform,triaged
REQ-2334,Security,Security issue #294 impacting region 5,security,open
INC-2335,Data,Data issue #295 impacting region 1,data,investigating
